Unnamed: 0,debit_cours_eau_m3s,niveau_cours_eau_m,precipitation,maree,prediction_5h
3845,1.25,0.215,0.0,0.92,0.2148057291068026
3846,1.25,0.215,0.0,0.92,0.21557060362208566
3847,1.25,0.215,0.0,0.92,0.21558251840905307
3848,1.24,0.214,0.0,0.92,0.2155635898376245
3849,1.24,0.214,0.0,0.88,0.21483248397693244
3850,1.24,0.214,0.0,0.88,0.21480888761496103
3851,1.24,0.214,0.0,0.88,0.21481265810676434
3852,1.24,0.214,0.0,0.88,0.21481469200506942
3853,1.26,0.216,0.0,0.88,0.2148020985605611
3854,1.26,0.216,0.0,0.88,0.21549764913952996
3855,1.24,0.214,0.0,0.88,0.21550637940268783
3856,1.24,0.214,0.0,0.88,0.21482508293888766
3857,1.24,0.214,0.0,0.88,0.21487019353368886
3858,1.25,0.215,0.0,0.88,0.21485912097975227
3859,1.24,0.214,0.0,0.82,0.21549958080659054
3860,1.25,0.215,0.0,0.82,0.21489634824827886
3861,1.24,0.214,0.0,0.82,0.21542307212253778
3862,1.25,0.215,0.0,0.82,0.21481846349391567
3863,1.23,0.213,0.0,0.82,0.21542307212253778
3864,1.24,0.214,0.0,0.82,0.2133326914857443
3865,1.23,0.213,0.0,0.82,0.21478382799217635
3866,1.22,0.212,0.0,0.82,0.21330593661561445
3867,1.22,0.212,0.0,0.82,0.21252862256248906
3868,1.22,0.212,0.0,0.82,0.2125114270454275
3869,1.23,0.213,0.0,0.78,0.21256122498821511
3870,1.24,0.214,0.0,0.78,0.21326102380953382
3871,1.24,0.214,0.0,0.78,0.214075449581273
3872,1.23,0.213,0.0,0.78,0.21409736044818387
3873,1.21,0.211,0.0,0.78,0.2132442541131782
3874,1.23,0.213,0.0,0.78,0.21212557675555854
3875,1.23,0.213,0.0,0.78,0.21348439682323053
3876,1.23,0.213,0.0,0.78,0.21327410267949465
3877,1.23,0.213,0.0,0.78,0.21320006659730414
3878,1.23,0.213,0.0,0.78,0.21322565945904007
3879,1.24,0.214,0.0,0.76,0.21324549599048478
3880,1.24,0.214,0.0,0.76,0.21420633374799614
3881,1.21,0.211,0.0,0.76,0.21421624827791066
3882,1.21,0.211,0.0,0.76,0.2121235345771487
3883,1.21,0.211,0.0,0.76,0.21188122315402272
3884,1.21,0.211,0.0,0.76,0.21187372315402267
3885,1.21,0.211,0.0,0.76,0.2114061531349226
3886,1.23,0.213,0.0,0.76,0.21133408822566843
3887,1.21,0.211,0.0,0.76,0.21284569333706563
3888,1.24,0.214,0.0,0.76,0.2117478864560603
3889,1.23,0.213,0.0,0.74,0.21380272338254325
3890,1.23,0.213,0.0,0.74,0.21293913457719932
3891,1.23,0.213,0.0,0.74,0.21283305481009138
3892,1.21,0.211,0.0,0.74,0.21318593837092434
3893,1.21,0.211,0.0,0.74,0.21185587378509296
3894,1.22,0.212,0.0,0.74,0.2116339122206403
3895,1.22,0.212,0.0,0.74,0.21225634068394636
3896,1.21,0.211,0.0,0.74,0.21215570229170955
3897,1.21,0.211,0.0,0.74,0.21126723500104522
3898,1.21,0.211,0.0,0.74,0.21123721032561604
3899,1.19,0.209,0.0,0.72,0.21123721032561604
3900,1.18,0.208,0.0,0.72,0.21002811729757195
3901,1.18,0.208,0.0,0.72,0.20972994343222431
3902,1.21,0.211,0.0,0.72,0.20963485886822095
3903,1.23,0.213,0.0,0.72,0.21112485063878444
3904,1.23,0.213,0.0,0.72,0.21279713547202625
3905,1.21,0.211,0.0,0.72,0.2127330009764077
3906,1.21,0.211,0.0,0.72,0.2114249171493376
3907,1.21,0.211,0.0,0.72,0.21153678531617118
3908,1.18,0.208,0.0,0.72,0.21155272776230283
3909,1.18,0.208,0.2,0.72,0.20983300735856025
3910,1.16,0.206,0.2,0.72,0.20975932787774806
3911,1.22,0.212,0.2,0.72,0.2070429455875894
3912,1.22,0.212,0.2,0.72,0.21361042294469407
3913,1.22,0.212,0.2,0.72,0.21211313405250062
3914,1.21,0.211,0.2,0.72,0.21203964999797711
3915,1.2,0.21,0.2,0.72,0.21084119143852484
3916,1.19,0.209,0.2,0.72,0.2104352797668268
3917,1.19,0.209,0.2,0.72,0.21007268788636113
3918,1.21,0.211,0.2,0.72,0.2101223734047643
3919,1.21,0.211,0.4,0.72,0.21111811987330723
3920,1.21,0.211,0.4,0.72,0.21082635883805725
3921,1.21,0.211,0.4,0.72,0.21079830551670306
3922,1.19,0.209,0.4,0.72,0.21087883949041764
3923,1.19,0.209,0.4,0.72,0.20995156782224245
3924,1.19,0.209,0.4,0.72,0.21000262397463212
3925,1.19,0.209,0.4,0.72,0.21008953008127057
3926,1.21,0.211,0.4,0.72,0.20999574641395755
